,title,area,numberOfRooms,price,town,district
176,Hadımköy Kiptaş 3. Etap Satılık 2+1 Daire/For Sale,84,2+1,1.050.000,Hadımköy(Boyalık)Deliklikaya Mah,.
177,ARAÇ TAKASINA UYGUN YENİ PROJEDEN TOPRAKTAN 2+1 DAİRE,100,2+1,1.100.000,BoğazköyBoğazköy İstiklal Mh,.
178,PROJEDEN ARNAVUTKÖY'ÜN GÖZBEBEĞİ MERKEZDE 2+1 DAİRE,101,2+1,1.660.000,ArnavutköyArnavutköy Merkez Mh,.
179,5K İNŞAAT TAN SATILIK DAİRE,90,2+1,1.100.000,ArnavutköyAnadolu Mah,.
180,Hadımköy Kiptaş Konutlarında Satılık Daire,102,2+1,1.150.000,ArnavutköyHadımköy Mh,.
181,ARNAVUTKÖY BOĞAZKÖY DE SATILIK DÜZ 1+1 GIRIŞ,60,1+1,420.000,BoğazköyBoğazköy İstiklal Mh,.
182,Anadolu mahallesi nde satılık 3 + 1 daire,130,3+1,1.225.000,ArnavutköyAnadolu Mah,.
183,3.ETAP KİPTAŞ KONUTLARI 2+1SATILIK1 .150.000TL KÖŞE DAİRE,84,2+1,1.150.000,Hadımköy(Boyalık)Deliklikaya Mah,.
184,MİAPORT ARNAVUTKÖY PROJESİNDE SİZDE YERİNİZİ ALIN,149,2+1,3.250.000,HaraççıHaraççı Mh,.
185,DELİKLİKAYA 3.ETAP KİPTAŞ KONUTLARINDA SATILIK DAİRE,84,2+1,1.000.000,Hadımköy(Boyalık)Deliklikaya Mah,.
186,MERKEZÎ KONUMDA BÜTÇENİZE UYGUN TERS DUBLEKS DAİRE,100,3+1,570.000,HaraççıKarlıbayır Mh,.
187,''KAPLAN İNŞAAT'' DAN ARNAVUTKÖY DE SATILIK 2+1 DUBLEKS DAİRE,185,4+2,1.500.000,ArnavutköyAnadolu Mah,.
188,ARNAVUTKÖY İSLAM BEY MAHALLESİ CADDE CEPHE 3 AYA TESLİM DAİRE,95,2+1,940.000,Arnavutköyİslambey Mh,.
189,Arnavutköy Haraççıda 4+2 Satılık Dubleks,180,4+2,1.600.000,HaraççıHaraççı Mh,.
190,TEKBASLAR'DAN BOLLUCA'DA YÜKSEK TAVANLI KULLANIŞLI DUBLEKS DAİRE,200,5+2,1.750.000,,
191,VADİ PARKTA 3+1 SATILIK TERS DUBLEKS,135,3+1,875.000,ArnavutköyMustafa Kemal Paşa Mh,.
192,SAHİBİNDEN SATILIK 95 M2 LUX DAİRE,105,2+1,1.050.000,ArnavutköyAnadolu Mah,.
193,Sahibinden Arnavutköyde Yüksek Giris katı,90,2+1,850.000,ArnavutköyAnadolu Mah,.
194,TAŞİNMAYA HAZIR MUHTEŞEM DUBLEXS,190,5+2,1.800.000,,
195,Satılık Düblex,200,4+1,1.300.000,ArnavutköyAnadolu Mah,.
196,Argahomes Emlak tan Satılık Çatı Dublex,200,4+2,1.900.000,BoğazköyBoğazköy İstiklal Mh,.
197,ARNAVUTKÖY TAŞOLUKTA OKUL KARŞISI SATILIK LÜKS TERS DUBLEKS,115,3+1,719.999,TaşolukTaşoluk Mh,.
198,=ZENGİN=ARNAVUT­KÖY-ANADOLU'DA ULTRA LÜX CADDE CEPHELİ DUBLEX,250,4+2,1.750.000,ArnavutköyAnadolu Mah,.
199,EKİNCİ EMLAKTAN SATILIK LÜX DAİRE 2.KAT 3+1 ASANSÖRLÜ KÖŞE BAŞI,110,3+1,1.150.000,HaraççıKarlıbayır Mh,.
200,ARNAVUTKÖY MERKEZ MAHALLESİNDE AVM ARKASI ÇİFT CEPHE 3+1 ARA KAT,125,3+1,1.050.000,ArnavutköyArnavutköy Merkez Mh,.
201,Molla Team'den Havaiş Konutlarında Satılık 4+1 190m2 Daire,190,4+1,1.250.000,Arnavutköyİslambey Mh,.
